Model,TargetType,SalePrice,PredictedPrice,Residual,PercentError,AbsolutePercentError,Neighborhood,OverallQual,TotalSF,HasGarage
Ridge,Actual,208500,225663.1268057245,-17163.12680572449,-0.08231715494352272,0.08231715494352272,CollgCr,7,2566,1
Ridge,Log,208500,210933.88806896607,-2433.8880689660728,-0.011673324071779725,0.011673324071779725,CollgCr,7,2566,1
Lasso,Actual,208500,224543.38812765625,-16043.388127656246,-0.07694670564823139,0.07694670564823139,CollgCr,7,2566,1
Lasso,Log,208500,208486.78616293453,13.213837065472035,6.337571734039345e-05,6.337571734039345e-05,CollgCr,7,2566,1
Ridge,Actual,181500,188815.79146844515,-7315.791468445153,-0.0403073910107171,0.0403073910107171,Veenker,6,2524,1
Ridge,Log,181500,189779.68443635915,-8279.684436359152,-0.0456180960680945,0.0456180960680945,Veenker,6,2524,1
Lasso,Actual,181500,185246.56840842462,-3746.568408424617,-0.02064225018415767,0.02064225018415767,Veenker,6,2524,1
Lasso,Log,181500,184305.4706020031,-2805.470602003101,-0.015457138303047388,0.015457138303047388,Veenker,6,2524,1
Ridge,Actual,223500,225983.26569159108,-2483.2656915910775,-0.011110808463494755,0.011110808463494755,CollgCr,7,2706,1
Ridge,Log,223500,218932.63589548628,4567.364104513719,0.020435633577242592,0.020435633577242592,CollgCr,7,2706,1
Lasso,Actual,223500,225223.1082203348,-1723.108220334805,-0.007709656466822394,0.007709656466822394,CollgCr,7,2706,1
Lasso,Log,223500,217489.78675184064,6010.213248159358,0.02689133444366603,0.02689133444366603,CollgCr,7,2706,1
Ridge,Actual,140000,196888.40779319094,-56888.40779319094,-0.40634576995136384,0.40634576995136384,Crawfor,7,2473,1
Ridge,Log,140000,173477.29781241564,-33477.297812415636,-0.23912355580296882,0.23912355580296882,Crawfor,7,2473,1
Lasso,Actual,140000,202744.65216752194,-62744.65216752194,-0.448176086910871,0.448176086910871,Crawfor,7,2473,1
Lasso,Log,140000,174597.08399571647,-34597.08399571647,-0.24712202854083193,0.24712202854083193,Crawfor,7,2473,1
Ridge,Actual,250000,291021.52231545455,-41021.52231545455,-0.16408608926181822,0.16408608926181822,NoRidge,8,3343,1
Ridge,Log,250000,296186.6468728739,-46186.646872873884,-0.18474658749149553,0.18474658749149553,NoRidge,8,3343,1
Lasso,Actual,250000,291219.8316118049,-41219.8316118049,-0.1648793264472196,0.1648793264472196,NoRidge,8,3343,1
Lasso,Log,250000,294333.4317809575,-44333.4317809575,-0.17733372712383,0.17733372712383,NoRidge,8,3343,1
Ridge,Actual,143000,178526.2125518362,-35526.212551836186,-0.24843505281004327,0.24843505281004327,Mitchel,5,2158,1
Ridge,Log,143000,164955.2229068348,-21955.222906834795,-0.15353302732052304,0.15353302732052304,Mitchel,5,2158,1
Lasso,Actual,143000,169452.57171811492,-26452.571718114923,-0.18498301900779665,0.18498301900779665,Mitchel,5,2158,1
